stop_number,stop_name,x_pos,y_pos,max_capacity,Stop_000,Stop_001,Stop_002,Stop_003,Stop_004,Stop_005,Stop_006,Stop_007,Stop_008,Stop_009,Stop_010,Stop_011,Stop_012,Stop_013,Stop_014,Stop_015,Stop_016,Stop_017,Stop_018,Stop_019,Stop_020,Stop_021,Stop_022,Stop_023,Stop_024,Stop_025,Stop_026,Stop_027,Stop_028,Stop_029,Stop_030,Stop_031,Stop_032,Stop_033,Stop_034,Stop_035,Stop_036,Stop_037,Stop_038,Stop_039,Stop_040,Stop_041,Stop_042,Stop_043,Stop_044,Stop_045,Stop_046,Stop_047,Stop_048,Stop_049,Stop_050,Stop_051,Stop_052,Stop_053,Stop_054,Stop_055,Stop_056,Stop_057,Stop_058,Stop_059,Stop_060,Stop_061,Stop_062,Stop_063,Stop_064,Stop_065,Stop_066,Stop_067,Stop_068,Stop_069,Stop_070,Stop_071,Stop_072,Stop_073,Stop_074,Stop_075,Stop_076,Stop_077,Stop_078,Stop_079,Stop_080,Stop_081,Stop_082,Stop_083,Stop_084,Stop_085,Stop_086,Stop_087,Stop_088,Stop_089,Stop_090,Stop_091,Stop_092,Stop_093,Stop_094,Stop_095,Stop_096,Stop_097,Stop_098,Stop_099,Stop_100,Stop_101,Stop_102,Stop_103,Stop_104,Stop_105,Stop_106,Stop_107,Stop_108,Stop_109,Stop_110,Stop_111,Stop_112,Stop_113,Stop_114,Stop_115,Stop_116,Stop_117,Stop_118,Stop_119,Stop_120,Stop_121,Stop_122,Stop_123,Stop_124,Stop_125,Stop_126,Stop_127,Stop_128,Stop_129,Stop_130,Stop_131,Stop_132,Stop_133,Stop_134,Stop_135,Stop_136,Stop_137,Stop_138,Stop_139,Stop_140,Stop_141,Stop_142,Stop_143,Stop_144,Stop_145,Stop_146,Stop_147,Stop_148,Stop_149,Stop_150,Stop_151,Stop_152,Stop_153,Stop_154,Stop_155,Stop_156,Stop_157,Stop_158,Stop_159,Stop_160,Stop_161,Stop_162,Stop_163,Stop_164,Stop_165,Stop_166,Stop_167,Stop_168,Stop_169,Stop_170,Stop_171,Stop_172,Stop_173,Stop_174,Stop_175,Stop_176,Stop_177,Stop_178,Stop_179,Stop_180,Stop_181,Stop_182,Stop_183,Stop_184,Stop_185,Stop_186,Stop_187,Stop_188,Stop_189,Stop_190,Stop_191,Stop_192,Stop_193,Stop_194,Stop_195,Stop_196,Stop_197,Stop_198,Stop_199,Stop_200,Stop_201,Stop_202,Stop_203,Stop_204,Stop_205,Stop_206,Stop_207,Stop_208,Stop_209,Stop_210,Stop_211,Stop_212,Stop_213,Stop_214,Stop_215,Stop_216,Stop_217,Stop_218,Stop_219,Stop_220,Stop_221,Stop_222,Stop_223,Stop_224,Stop_225,Stop_226,Stop_227,Stop_228,Stop_229,Stop_230,Stop_231,Stop_232,Stop_233,Stop_234,Stop_235,Stop_236,Stop_237,Stop_238,Stop_239,Stop_240,Stop_241,Stop_242,Stop_243,Stop_244,Stop_245,Stop_246,Stop_247,Stop_248,Stop_249,Stop_250,Stop_251,Stop_252,Stop_253,Stop_254,Stop_255,Stop_256,Stop_257,Stop_258,Stop_259,Stop_260,Stop_261,Stop_262,Stop_263,Stop_264,Stop_265,Stop_266,Stop_267,Stop_268,Stop_269,Stop_270,Stop_271,Stop_272,Stop_273,Stop_274,Stop_275,Stop_276,Stop_277,Stop_278,Stop_279,Stop_280,Stop_281,Stop_282,Stop_283,Stop_284,Stop_285,Stop_286,Stop_287,Stop_288,Stop_289,Stop_290,Stop_291,Stop_292,Stop_293,Stop_294,Stop_295,Stop_296,Stop_297,Stop_298,Stop_299
0,Stop_000,400,1000,4224,0,0,0,1,1,0,1,0,0,1,2,1,1,2,2,2,3,2,1,1,3,0,3,0,4,0,2,4,1,5,1,5,1,3,6,3,7,4,4,7,6,4,7,2,2,0,4,6,1,5,7,6,8,11,5,10,3,10,8,0,8,6,9,1,8,10,8,10,13,7,2,1,2,9,4,15,3,10,4,2,15,12,11,6,11,11,10,9,4,4,12,2,12,11,13,13,14,10,9,16,9,15,12,1,11,14,6,14,18,12,8,8,2,19,7,17,10,16,3,12,22,8,13,15,9,15,14,20,2,11,9,8,1,24,10,14,21,1,14,14,12,15,26,27,6,1,1,29,10,10,1,28,29,2,0,19,13,23,12,2,17,3,22,27,7,16,6,23,30,15,18,7,26,1,11,21,3,17,1,18,21,29,4,20,23,9,9,31,19,28,23,7,38,18,7,19,7,35,10,11,36,28,1,0,32,24,4,32,4,28,11,23,27,36,42,42,37,23,40,14,4,22,6,5,41,18,1,14,35,44,2,34,7,13,19,3,0,41,28,11,40,22,14,12,18,1,45,3,34,14,22,32,38,31,23,10,10,22,4,47,25,20,15,25,16,51,6,3,2,5,30,20,8,47,11,16,46,48,17,2,24,2,39,30,44,18,21,20,57,57,19,37,30,2,1,14,43,45,39,87
1,Stop_001,800,1000,2024,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,2,0,1,1,1,1,2,0,0,3,0,3,0,2,3,3,2,2,0,1,1,4,3,1,2,2,4,3,2,4,4,4,1,3,1,3,1,3,5,2,3,2,3,3,1,2,5,6,4,5,2,4,0,3,0,1,6,3,1,5,7,4,2,7,4,3,8,6,3,2,3,5,2,4,1,5,8,7,3,4,3,2,3,9,3,1,5,6,5,6,6,2,11,3,1,7,5,9,0,5,1,8,11,7,12,1,11,7,0,2,1,12,1,6,12,10,12,6,0,8,3,4,12,10,6,4,5,5,7,3,10,12,3,3,10,14,14,10,11,7,9,3,6,7,5,10,7,0,10,0,10,10,16,6,12,6,10,16,17,13,5,13,16,13,14,15,16,2,10,15,8,13,17,10,2,3,17,3,4,13,14,17,14,19,14,14,3,15,4,4,5,15,6,12,17,12,3,7,9,7,13,1,19,3,8,18,17,5,0,2,13,2,17,12,5,5,7,2,8,20,1,12,0,3,13,21,2,12,7,12,17,23,14,16,7,2,12,12,10,14,6,25,6,8,25,6,13,10,5,4,1,1,21,18,6,10,4,4,10,13,11,2,2,22,28,9,28,9,11,18,1,7,10,0,18,4,13,5,13,10,22
2,Stop_002,1200,1000,2246,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,2,2,0,2,2,1,0,2,1,1,0,1,2,2,2,3,1,2,4,3,2,4,3,1,4,1,1,1,1,2,3,1,4,0,2,1,5,3,1,4,4,2,4,2,2,0,2,4,4,1,4,1,4,5,4,1,3,6,7,0,5,5,5,2,6,5,5,9,4,7,6,2,6,9,3,2,2,3,7,10,0,10,4,6,5,2,6,8,5,1,5,4,7,7,7,3,10,0,6,10,2,6,1,8,3,2,12,1,7,7,1,6,8,3,5,1,13,10,4,2,11,5,12,11,9,2,5,2,12,12,8,11,5,3,15,5,8,8,11,13,7,2,13,9,15,12,15,5,17,8,3,0,6,12,15,11,16,2,3,16,12,5,7,14,18,8,5,12,12,2,4,14,1,13,11,18,4,2,3,10,5,8,18,7,10,7,4,15,16,15,7,9,9,18,7,20,0,3,11,10,7,20,8,7,11,20,14,4,19,21,2,11,23,21,7,23,4,16,16,4,1,18,15,11,17,7,0,17,3,4,19,23,13,24,10,3,15,8,6,21,22,19,11,8,7,24,20,2,24,3,0,23,20,5,19,20,22,17,22,17,13,10,16,22,20,14,12,19,22,11,17,8,13,16,10,13,7,14
3,Stop_003,1600,1000,2285,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,2,2,0,0,0,1,2,2,1,2,3,2,3,2,2,3,1,3,1,2,1,0,1,3,3,2,3,1,3,0,5,1,2,2,5,3,1,0,1,4,0,3,5,0,5,5,5,0,3,5,7,5,6,4,1,5,5,3,3,3,2,4,3,2,1,5,8,5,6,9,7,1,5,5,0,5,6,2,3,9,4,7,2,8,7,3,9,9,2,6,7,0,5,3,0,11,6,11,7,9,3,8,7,12,12,9,1,12,7,2,12,5,10,8,1,13,10,0,3,5,2,0,4,9,9,11,1,11,9,12,12,13,13,8,1,0,11,12,3,13,2,7,4,13,9,14,13,7,8,9,15,9,15,2,17,2,16,11,9,1,6,13,2,3,4,4,11,12,9,5,7,6,14,15,12,18,18,4,9,10,9,6,3,8,16,20,0,15,13,3,7,7,3,13,9,15,18,5,18,5,18,18,20,11,11,7,10,12,15,12,22,1,5,15,4,21,0,9,7,4,7,11,10,12,24,22,24,22,20,10,21,0,18,7,0,25,1,12,5,24,22,25,9,14,5,14,26,13,4,15,3,8,21,25,4,15,23,26,26,14,7,19,6,27,12,6,9,16,14,23,27,2,22,14,5,20,2,33
4,Stop_004,2000,1000,2213,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,0,2,2,1,1,1,2,2,0,4,3,4,3,2,3,4,2,1,3,3,1,0,3,0,4,4,5,4,3,5,0,3,4,5,3,2,5,5,2,2,5,5,5,7,7,2,2,7,5,6,1,6,5,2,8,7,3,5,2,1,8,0,1,3,3,6,6,8,9,9,3,7,1,7,1,3,5,2,10,9,9,7,8,3,3,8,0,2,3,7,6,2,7,5,8,9,1,8,4,9,12,8,10,6,1,2,4,1,3,6,9,9,9,13,4,5,14,11,2,14,2,10,14,10,13,9,8,5,13,9,14,8,11,13,6,5,2,10,5,16,12,12,9,14,14,5,1,7,5,5,14,13,12,0,8,5,15,2,4,16,17,16,7,4,12,10,1,1,8,2,15,6,10,19,11,17,3,14,13,20,4,4,20,20,4,11,21,16,16,12,19,7,8,3,3,14,19,17,9,13,13,10,16,8,5,13,1,7,13,23,5,8,2,8,23,20,21,24,8,4,8,24,1,11,0,5,4,14,22,19,13,10,16,14,5,8,5,8,4,25,6,26,20,11,17,6,18,5,4,26,3,14,11,16,21,16,7,6,3,1,15,6,17,13,19,13,12,10,59
5,Stop_005,2400,1000,1975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,2,0,1,0,2,0,1,3,1,1,2,2,0,1,0,2,1,3,3,1,4,2,3,4,0,3,1,2,2,0,3,2,3,4,3,5,3,3,1,4,1,5,5,3,5,2,3,6,3,1,3,5,4,2,3,4,4,1,3,2,3,6,7,6,5,7,8,7,2,3,9,2,1,7,9,7,2,8,2,3,2,4,7,1,3,6,1,0,9,8,0,5,4,10,10,7,5,4,1,4,1,7,9,2,11,8,1,1,10,4,10,3,4,12,2,3,2,9,13,0,6,5,1,13,6,9,5,12,10,3,11,4,7,1,13,10,4,7,9,11,9,13,0,6,13,11,1,7,2,9,1,14,6,4,10,16,13,16,15,2,4,10,6,3,10,17,8,18,5,4,0,6,7,3,2,11,6,14,11,7,15,6,9,9,16,5,7,9,0,16,3,13,10,19,9,12,11,20,12,16,0,17,10,17,5,3,12,18,10,0,22,14,6,1,18,14,18,20,5,5,11,12,8,6,9,5,3,3,8,4,9,8,2,8,7,1,23,7,24,15,17,23,7,6,23,1,20,1,6,17,1,21,21,14,2,18,25,6,25,9,3,1,12,13,1,28,10,11,23,7,22,7,16,27
6,Stop_006,2800,1000,2115,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,2,2,0,2,2,2,3,3,2,2,3,2,1,3,2,3,3,0,3,2,1,3,1,4,2,1,4,5,5,3,4,3,5,0,2,1,2,4,3,0,6,1,3,1,3,2,5,3,5,1,2,1,7,2,2,2,4,4,5,6,7,2,2,4,2,8,6,4,1,1,5,7,5,1,10,2,6,10,2,4,7,5,0,2,3,3,5,4,8,9,7,5,6,6,2,7,1,1,4,9,5,9,4,7,11,6,11,4,12,8,4,9,11,9,4,4,3,11,2,6,2,8,10,1,6,9,1,5,2,8,15,13,12,8,15,5,9,14,12,0,4,2,7,1,14,15,17,6,5,0,15,4,3,12,18,1,8,13,11,12,8,18,11,14,10,9,6,17,1,9,16,7,5,1,12,13,7,11,4,9,18,1,5,6,20,1,1,4,20,0,8,17,16,1,7,2,6,17,2,0,7,19,14,17,13,2,3,12,19,15,11,11,7,6,7,14,1,6,9,19,3,16,7,3,9,24,15,22,25,22,17,19,2,3,2,8,12,0,18,16,10,11,4,12,25,20,19,13,18,18,26,24,24,28,19,8,23,17,18,5,9,21,25,1,3,1,11,19,3,23,45
7,Stop_007,3200,1000,2279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,2,1,1,1,0,0,3,2,1,3,3,3,1,3,2,3,4,1,1,3,4,4,1,4,3,2,3,1,5,3,2,2,5,5,4,2,4,5,4,0,6,1,3,4,5,1,5,5,1,2,6,2,2,5,7,2,2,1,7,5,8,7,7,6,7,5,6,4,9,9,9,9,8,2,0,6,10,9,3,4,1,2,7,6,3,6,2,10,6,9,1,10,1,7,4,2,3,12,11,11,12,3,6,9,5,4,9,0,3,2,7,10,10,6,9,6,9,6,11,3,14,2,12,1,1,9,13,8,7,1,10,9,7,6,14,4,10,8,2,10,9,16,14,4,8,12,17,3,4,4,14,4,16,12,5,1,2,7,5,17,11,7,1,4,11,6,19,8,17,18,7,2,4,11,1,18,4,5,11,15,19,17,2,4,10,12,16,9,14,5,17,15,12,14,9,20,19,20,21,16,12,21,3,17,16,23,12,1,15,3,5,17,15,4,22,19,16,6,14,16,5,23,23,22,6,21,10,3,3,25,8,8,17,19,24,2,7,11,23,14,13,6,17,10,22,2,23,3,10,3,11,24,15,5,11,21,7,15,14,12,28,20,21,24,20,5,26,11,20
8,Stop_008,3600,1000,2091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,2,1,0,0,1,1,0,3,0,1,3,2,2,3,0,0,1,2,0,1,1,1,2,2,0,1,1,1,4,1,5,5,3,5,5,2,3,1,1,3,2,1,2,5,2,5,2,1,1,5,2,2,3,6,7,6,3,7,2,8,4,4,2,8,5,1,3,3,6,9,0,1,9,1,1,8,6,5,1,6,10,1,7,8,10,8,3,7,9,7,10,9,4,2,2,2,7,6,3,4,10,9,2,7,8,1,10,10,7,5,2,2,4,1,13,7,13,13,10,1,9,10,1,3,2,15,13,4,4,11,12,8,3,4,2,4,14,8,3,5,4,3,16,12,12,4,6,0,2,16,4,0,6,9,14,7,15,13,5,1,7,10,17,4,16,9,15,16,1,17,13,1,16,12,6,13,11,4,6,0,19,6,14,18,20,19,17,15,18,9,13,2,5,2,19,10,1,14,5,21,7,7,5,20,11,9,2,14,22,19,17,9,12,13,0,1,18,19,18,24,22,3,17,6,6,5,2,11,19,11,21,6,9,1,4,1,3,15,21,19,12,10,21,19,24,2,26,11,7,27,3,15,7,12,25,22,24,5,27,7,21,4,1,5,1,21,2,28,39
9,Stop_009,4000,1000,2034,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,2,1,0,2,0,2,1,2,1,0,1,2,3,0,3,2,2,1,2,2,3,1,2,3,3,4,1,3,4,2,3,3,3,4,3,5,0,1,5,5,3,3,5,5,3,0,1,3,3,4,6,1,2,0,0,4,6,2,1,3,8,2,5,4,4,6,4,7,5,7,4,6,1,8,4,4,2,1,1,6,4,5,8,10,6,3,2,1,5,10,7,5,4,7,3,1,3,11,10,1,12,7,10,9,4,5,11,5,2,1,2,3,10,10,10,4,12,5,0,6,5,3,0,4,12,1,4,7,5,7,13,7,0,3,2,2,12,4,6,3,8,2,15,3,11,10,6,8,4,10,17,13,10,11,1,14,1,4,17,7,16,4,2,12,6,10,12,14,13,13,15,3,3,9,1,2,6,2,11,10,14,16,4,7,13,17,1,2,15,8,8,4,12,4,5,12,15,19,4,8,12,19,3,5,13,18,21,3,21,7,23,22,8,12,22,14,1,3,13,15,20,6,23,11,2,3,23,5,24,3,19,11,1,19,18,7,22,9,21,16,2,25,23,0,4,9,13,20,5,14,10,3,17,3,18,2,12,24,19,17,8,25,22,9,2,9,3,8,2,8,25,14,45
