stop_number,stop_name,x_pos,y_pos,max_capacity,Stop_00,Stop_01,Stop_02,Stop_03,Stop_04,Stop_05,Stop_06,Stop_07,Stop_08,Stop_09,Stop_10,Stop_11,Stop_12,Stop_13,Stop_14,Stop_15,Stop_16,Stop_17,Stop_18,Stop_19,Stop_20,Stop_21,Stop_22,Stop_23,Stop_24,Stop_25,Stop_26,Stop_27,Stop_28,Stop_29,Total
0,Stop_00,400,1000,2331,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,96,153,270,285,300,189,132,69,72,75,78,81,84,87,2331
1,Stop_01,800,1000,2193,3,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,90,144,255,270,285,180,126,66,69,72,75,78,81,84,2193
2,Stop_02,1200,1000,2061,6,3,0,3,6,9,12,15,18,21,24,27,30,33,36,39,84,135,240,255,270,171,120,63,66,69,72,75,78,81,2061
3,Stop_03,1600,1000,1935,9,6,3,0,3,6,9,12,15,18,21,24,27,30,33,36,78,126,225,240,255,162,114,60,63,66,69,72,75,78,1935
4,Stop_04,2000,1000,1815,12,9,6,3,0,3,6,9,12,15,18,21,24,27,30,33,72,117,210,225,240,153,108,57,60,63,66,69,72,75,1815
5,Stop_05,2400,1000,1701,15,12,9,6,3,0,3,6,9,12,15,18,21,24,27,30,66,108,195,210,225,144,102,54,57,60,63,66,69,72,1701
6,Stop_06,2800,1000,1593,18,15,12,9,6,3,0,3,6,9,12,15,18,21,24,27,60,99,180,195,210,135,96,51,54,57,60,63,66,69,1593
7,Stop_07,3200,1000,1491,21,18,15,12,9,6,3,0,3,6,9,12,15,18,21,24,54,90,165,180,195,126,90,48,51,54,57,60,63,66,1491
8,Stop_08,3600,1000,1395,24,21,18,15,12,9,6,3,0,3,6,9,12,15,18,21,48,81,150,165,180,117,84,45,48,51,54,57,60,63,1395
9,Stop_09,4000,1000,1305,27,24,21,18,15,12,9,6,3,0,3,6,9,12,15,18,42,72,135,150,165,108,78,42,45,48,51,54,57,60,1305
10,Stop_10,4400,1000,1221,30,27,24,21,18,15,12,9,6,3,0,3,6,9,12,15,36,63,120,135,150,99,72,39,42,45,48,51,54,57,1221
11,Stop_11,4800,1000,1143,33,30,27,24,21,18,15,12,9,6,3,0,3,6,9,12,30,54,105,120,135,90,66,36,39,42,45,48,51,54,1143
12,Stop_12,5200,1000,1071,36,33,30,27,24,21,18,15,12,9,6,3,0,3,6,9,24,45,90,105,120,81,60,33,36,39,42,45,48,51,1071
13,Stop_13,5600,1000,1005,39,36,33,30,27,24,21,18,15,12,9,6,3,0,3,6,18,36,75,90,105,72,54,30,33,36,39,42,45,48,1005
14,Stop_14,6000,1000,945,42,39,36,33,30,27,24,21,18,15,12,9,6,3,0,3,12,27,60,75,90,63,48,27,30,33,36,39,42,45,945
15,Stop_15,6400,1000,891,45,42,39,36,33,30,27,24,21,18,15,12,9,6,3,0,6,18,45,60,75,54,42,24,27,30,33,36,39,42,891
16,Stop_16,6800,1000,843,48,45,42,39,36,33,30,27,24,21,18,15,12,9,6,3,0,9,30,45,60,45,36,21,24,27,30,33,36,39,843
17,Stop_17,7200,1000,807,51,48,45,42,39,36,33,30,27,24,21,18,15,12,9,6,6,0,15,30,45,36,30,18,21,24,27,30,33,36,807
18,Stop_18,7600,1000,789,54,51,48,45,42,39,36,33,30,27,24,21,18,15,12,9,12,9,0,15,30,27,24,15,18,21,24,27,30,33,789
19,Stop_19,8000,1000,801,57,54,51,48,45,42,39,36,33,30,27,24,21,18,15,12,18,18,15,0,15,18,18,12,15,18,21,24,27,30,801
20,Stop_20,8400,1000,843,60,57,54,51,48,45,42,39,36,33,30,27,24,21,18,15,24,27,30,15,0,9,12,9,12,15,18,21,24,27,843
21,Stop_21,8800,1000,915,63,60,57,54,51,48,45,42,39,36,33,30,27,24,21,18,30,36,45,30,15,0,6,6,9,12,15,18,21,24,915
22,Stop_22,9200,1000,1005,66,63,60,57,54,51,48,45,42,39,36,33,30,27,24,21,36,45,60,45,30,9,0,3,6,9,12,15,18,21,1005
23,Stop_23,9600,1000,1107,69,66,63,60,57,54,51,48,45,42,39,36,33,30,27,24,42,54,75,60,45,18,6,0,3,6,9,12,15,18,1107
24,Stop_24,10000,1000,1215,72,69,66,63,60,57,54,51,48,45,42,39,36,33,30,27,48,63,90,75,60,27,12,3,0,3,6,9,12,15,1215
25,Stop_25,10400,1000,1329,75,72,69,66,63,60,57,54,51,48,45,42,39,36,33,30,54,72,105,90,75,36,18,6,3,0,3,6,9,12,1329
26,Stop_26,10800,1000,1449,78,75,72,69,66,63,60,57,54,51,48,45,42,39,36,33,60,81,120,105,90,45,24,9,6,3,0,3,6,9,1449
27,Stop_27,11200,1000,1575,81,78,75,72,69,66,63,60,57,54,51,48,45,42,39,36,66,90,135,120,105,54,30,12,9,6,3,0,3,6,1575
28,Stop_28,11600,1000,1707,84,81,78,75,72,69,66,63,60,57,54,51,48,45,42,39,72,99,150,135,120,63,36,15,12,9,6,3,0,3,1707
29,Stop_29,12000,1000,1845,87,84,81,78,75,72,69,66,63,60,57,54,51,48,45,42,78,108,165,150,135,72,42,18,15,12,9,6,3,0,1845
